food_id,wikipedia_id,food_group,food_subgroup,ncbi_taxonomy_id,db,rank,matched_taxid,kingdom,phylum,class,order,family,genus,species,taxon,taxrank,kraken_raw_reads,reads,sample_id,lineage,taxid_lineage,relative_abundance,total_reads,total_raw_reads,bacteria_reads,human_reads
910,Capsicum_annuum,Vegetables,Fruit vegetables,4072,genbank,species,4072,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum annuum,Capsicum annuum,species,15,40,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Capsicum;s__Capsicum annuum,2759;35493;3398;4069;4070;4071;4072,6.28222388212538e-06,6367172,3415436,6355495,586
911,Capsicum_annuum,Vegetables,Fruit vegetables,4072,genbank,species,4072,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum annuum,Capsicum annuum,species,15,40,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Capsicum;s__Capsicum annuum,2759;35493;3398;4069;4070;4071;4072,6.28222388212538e-06,6367172,3415436,6355495,586
912,Capsicum_annuum,Vegetables,Fruit vegetables,4072,genbank,species,4072,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum annuum,Capsicum annuum,species,15,40,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Capsicum;s__Capsicum annuum,2759;35493;3398;4069;4070;4071;4072,6.28222388212538e-06,6367172,3415436,6355495,586
913,Italian sweet pepper,Vegetables,Fruit vegetables,4072,genbank,species,4072,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum annuum,Capsicum annuum,species,15,40,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Capsicum;s__Capsicum annuum,2759;35493;3398;4069;4070;4071;4072,6.28222388212538e-06,6367172,3415436,6355495,586
436,Capsicum_frutescens,Vegetables,Fruit vegetables,40321,genbank,species,4072,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum annuum,Capsicum annuum,species,15,40,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Capsicum;s__Capsicum annuum,2759;35493;3398;4069;4070;4071;4072,6.28222388212538e-06,6367172,3415436,6355495,586
175,Potato,Vegetables,Tubers,4113,genbank,species,4113,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum tuberosum,Solanum tuberosum,species,17,22,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Solanum;s__Solanum tuberosum,2759;35493;3398;4069;4070;4107;4113,3.45522313516896e-06,6367172,3415436,6355495,586
141,Pea,Pulses,Peas,3888,genbank,species,3888,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Pisum,Pisum sativum,Pisum sativum,species,114,165,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Pisum;s__Pisum sativum,2759;35493;3398;72025;3803;3887;3888,2.59141735137672e-05,6367172,3415436,6355495,586
197,Broad_bean,Pulses,Beans,3906,genbank,species,3906,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia faba,Vicia faba,species,63,70,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Vicia;s__Vicia faba,2759;35493;3398;72025;3803;3904;3906,1.09938917937194e-05,6367172,3415436,6355495,586
134,Phaseolus_vulgaris,Pulses,Beans,3885,genbank,species,3885,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus vulgaris,Phaseolus vulgaris,species,71,235,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Phaseolus;s__Phaseolus vulgaris,2759;35493;3398;72025;3803;3883;3885,3.69080653074866e-05,6367172,3415436,6355495,586
914,Phaseolus_vulgaris,Pulses,Beans,3885,genbank,species,3885,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus vulgaris,Phaseolus vulgaris,species,71,235,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Phaseolus;s__Phaseolus vulgaris,2759;35493;3398;72025;3803;3883;3885,3.69080653074866e-05,6367172,3415436,6355495,586
915,Phaseolus vulgaris,Pulses,Beans,3885,genbank,species,3885,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus vulgaris,Phaseolus vulgaris,species,71,235,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Phaseolus;s__Phaseolus vulgaris,2759;35493;3398;72025;3803;3883;3885,3.69080653074866e-05,6367172,3415436,6355495,586
149,Peach,Fruits,Drupes,3760,genbank,species,3760,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus persica,Prunus persica,species,67,495,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Prunus;s__Prunus persica,2759;35493;3398;3744;3745;3754;3760,7.77425205413015e-05,6367172,3415436,6355495,586
229,Nectarine#Nectarines,Fruits,Drupes,323851,genbank,species,3760,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus persica,Prunus persica,species,67,495,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Prunus;s__Prunus persica,2759;35493;3398;3744;3745;3754;3760,7.77425205413015e-05,6367172,3415436,6355495,586
230,"",Fruits,Drupes,323852,genbank,species,3760,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus persica,Prunus persica,species,67,495,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Prunus;s__Prunus persica,2759;35493;3398;3744;3745;3754;3760,7.77425205413015e-05,6367172,3415436,6355495,586
145,Prunus avium,Fruits,Drupes,42229,genbank,species,42229,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus avium,Prunus avium,species,19,46,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Prunus;s__Prunus avium,2759;35493;3398;3744;3745;3754;42229,7.22455746444418e-06,6367172,3415436,6355495,586
52,Watermelon,Gourds,Gourds,3654,genbank,species,3654,Eukaryota,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Citrullus,Citrullus lanatus,Citrullus lanatus,species,28,36,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales;f__Cucurbitaceae;g__Citrullus;s__Citrullus lanatus,2759;35493;3398;71239;3650;3653;3654,5.65400149391284e-06,6367172,3415436,6355495,586
65,Cucumber,Gourds,Gourds,3659,genbank,species,3659,Eukaryota,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,Cucumis sativus,Cucumis sativus,species,11,15,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales;f__Cucurbitaceae;g__Cucumis;s__Cucumis sativus,2759;35493;3398;71239;3650;3655;3659,2.35583395579702e-06,6367172,3415436,6355495,586
27,Brassica juncea,Vegetables,Cabbages,3707,genbank,species,3707,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica juncea,Brassica juncea,species,15,47,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Brassicales;f__Brassicaceae;g__Brassica;s__Brassica juncea,2759;35493;3398;3699;3700;3705;3707,7.38161306149732e-06,6367172,3415436,6355495,586
130,Avocado,Vegetables,Fruit vegetables,3435,genbank,species,3435,Eukaryota,Streptophyta,Magnoliopsida,Laurales,Lauraceae,Persea,Persea americana,Persea americana,species,85,213,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Laurales;f__Lauraceae;g__Persea;s__Persea americana,2759;35493;3398;3432;3433;3434;3435,3.34528421723176e-05,6367172,3415436,6355495,586
506,Cattle,Animal foods,Bovines,9913,genbank,species,9913,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,Bos taurus,species,365,839,M0x10MCx2066,k__Eukaryota;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__Bos taurus,2759;7711;40674;91561;9895;9903;9913,0.00013176964592758,6367172,3415436,6355495,586
483,Sheep,Animal foods,Ovis,9940,genbank,species,9940,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries,Ovis aries,species,399,695,M0x10MCx2066,k__Eukaryota;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Ovis;s__Ovis aries,2759;7711;40674;91561;9895;9935;9940,0.000109153639951928,6367172,3415436,6355495,586
334,Chicken,Animal foods,Poultry,9031,genbank,species,9031,Eukaryota,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,Gallus gallus,species,1166,1448,M0x10MCx2066,k__Eukaryota;p__Chordata;c__Aves;o__Galliformes;f__Phasianidae;g__Gallus;s__Gallus gallus,2759;7711;8782;8976;9005;9030;9031,0.000227416504532939,6367172,3415436,6355495,586
182,Cocoa_bean,Cocoa and cocoa products,Cocoa,3641,genbank,species,3641,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Theobroma,Theobroma cacao,Theobroma cacao,species,547,1002,M0x10MCx2460,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Malvales;f__Malvaceae;g__Theobroma;s__Theobroma cacao,2759;35493;3398;41938;3629;3640;3641,0.000152524694691836,6569428,4684126,6555845,281
457,Roselle_(plant),Herbs and Spices,Herbs,183260,genbank,species,183260,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,Hibiscus sabdariffa,Hibiscus sabdariffa,species,41,67,M0x10MCx2460,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Malvales;f__Malvaceae;g__Hibiscus;s__Hibiscus sabdariffa,2759;35493;3398;41938;3629;47605;183260,1.01987570302924e-05,6569428,4684126,6555845,281
748,Hibiscus_tea,Teas,Herbal teas,183260,genbank,species,183260,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,Hibiscus sabdariffa,Hibiscus sabdariffa,species,41,67,M0x10MCx2460,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Malvales;f__Malvaceae;g__Hibiscus;s__Hibiscus sabdariffa,2759;35493;3398;41938;3629;47605;183260,1.01987570302924e-05,6569428,4684126,6555845,281
148,Prunus_dulcis,Nuts,Nuts,3755,genbank,species,3755,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus dulcis,Prunus dulcis,species,10,50,M0x10MCx2460,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Prunus;s__Prunus dulcis,2759;35493;3398;3744;3745;3754;3755,7.61101270917346e-06,6569428,4684126,6555845,281
62,Corylus avellana,Nuts,Nuts,13451,genbank,species,13451,Eukaryota,Streptophyta,Magnoliopsida,Fagales,Betulaceae,Corylus,Corylus avellana,Corylus avellana,species,11,29,M0x10MCx2460,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fagales;f__Betulaceae;g__Corylus;s__Corylus avellana,2759;35493;3398;3502;3514;13450;13451,4.41438737132061e-06,6569428,4684126,6555845,281
79,Buckwheat,Cereals and cereal products,Cereals,3617,genbank,species,3617,Eukaryota,Streptophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Fagopyrum,Fagopyrum esculentum,Fagopyrum esculentum,species,59,142,M0x10MCx1810,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Caryophyllales;f__Polygonaceae;g__Fagopyrum;s__Fagopyrum esculentum,2759;35493;3398;3524;3615;3616;3617,2.60651371448396e-05,5447890,2836008,5445786,331
169,Rye,Cereals and cereal products,Cereals,4550,genbank,species,4550,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Secale,Secale cereale,Secale cereale,species,42,98,M0x10MCx1810,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Secale;s__Secale cereale,2759;35493;3398;38820;4479;4549;4550,1.7988615776016e-05,5447890,2836008,5445786,331
