sample_id,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,lineage,taxid_lineage
S_positive_11,Sodaliphilus pleomorphus,2606626,S,141,2,143,0.00002,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__Sodaliphilus pleomorphus,2;976;200643;171549;2005473;2815786;2606626
S_positive_11,Dysgonomonas sp. HDW5B,2714927,S,141,111,252,0.00003,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__Dysgonomonas sp. HDW5B,2;976;200643;171549;2005520;156973;2714927
S_positive_11,Dysgonomonas sp. HDW5A,2714926,S,130,106,236,0.00003,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__Dysgonomonas sp. HDW5A,2;976;200643;171549;2005520;156973;2714926
S_positive_11,Proteiniphilum propionicum,2829812,S,158,2,160,0.00002,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum;s__Proteiniphilum propionicum,2;976;200643;171549;2005520;294702;2829812
S_positive_11,Petrimonas mucosa,1642646,S,155,10,165,0.00002,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Petrimonas;s__Petrimonas mucosa,2;976;200643;171549;2005520;307628;1642646
S_positive_11,Xiashengella succiniciproducens,2949635,S,173,6,179,0.00002,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__Marinilabiliaceae;g__Xiashengella;s__Xiashengella succiniciproducens,2;976;200643;1970189;558415;3129724;2949635
S_positive_11,Elizabethkingia bruuniana,1756149,S,1609,772,2381,0.00027,k__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia bruuniana,2;976;117743;200644;2762318;308865;1756149
S_positive_11,Epilithonimonas vandammei,2487072,S,765,94,859,0.00010,k__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Epilithonimonas;s__Epilithonimonas vandammei,2;976;117743;200644;2762318;2782229;2487072
S_positive_11,Chryseobacterium shandongense,1493872,S,447,44,491,0.00006,k__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium shandongense,2;976;117743;200644;2762318;59732;1493872
S_positive_11,Cruoricaptor ignavus,1118202,S,146,1,147,0.00002,k__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Cruoricaptor;s__Cruoricaptor ignavus,2;976;117743;200644;2762318;1433995;1118202
S_positive_11,Cloacibacterium caeni,2004710,S,98,47,145,0.00002,k__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Cloacibacterium;s__Cloacibacterium caeni,2;976;117743;200644;2762318;501783;2004710
S_positive_11,Myroides odoratimimus,76832,S,96,323,419,0.00005,k__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Myroides;s__Myroides odoratimimus,2;976;117743;200644;49546;76831;76832
S_positive_11,Capnocytophaga canimorsus,28188,S,124,13,137,0.00002,k__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga canimorsus,2;976;117743;200644;49546;1016;28188
S_positive_11,Faecalibacterium prausnitzii,853,S,271198,219725,490923,0.05659,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii,2;1239;186801;186802;216572;216851;853
S_positive_11,Faecalibacterium sp. HTF-F,2929491,S,17929,6496,24425,0.00282,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium sp. HTF-F,2;1239;186801;186802;216572;216851;2929491
S_positive_11,Faecalibacterium sp. I3-3-89,2929493,S,17215,9145,26360,0.00304,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium sp. I3-3-89,2;1239;186801;186802;216572;216851;2929493
S_positive_11,Faecalibacterium sp. I4-3-84,2929495,S,11301,15413,26714,0.00308,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium sp. I4-3-84,2;1239;186801;186802;216572;216851;2929495
S_positive_11,Faecalibacterium sp. IP-1-18,2929488,S,5283,46173,51456,0.00593,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium sp. IP-1-18,2;1239;186801;186802;216572;216851;2929488
S_positive_11,Faecalibacterium sp. I4-1-79,2929494,S,5110,4285,9395,0.00108,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium sp. I4-1-79,2;1239;186801;186802;216572;216851;2929494
S_positive_11,Faecalibacterium sp. IP-3-29,2929489,S,3251,9114,12365,0.00143,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium sp. IP-3-29,2;1239;186801;186802;216572;216851;2929489
S_positive_11,Faecalibacterium sp. I3-3-33,2929492,S,2123,1171,3294,0.00038,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium sp. I3-3-33,2;1239;186801;186802;216572;216851;2929492
S_positive_11,Faecalibacterium sp. I2-3-92,2929490,S,2051,6220,8271,0.00095,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium sp. I2-3-92,2;1239;186801;186802;216572;216851;2929490
S_positive_11,Faecalibacterium duncaniae,411483,S,4493,12548,17041,0.00196,k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium duncaniae,2;1239;186801;186802;216572;216851;411483
