id,relative_abundance,file,type,sample_id,depth
3028070,0.0000324211266789558,3028070.fna.gz,background,positive_1,10000000
1653434,0.00016017183711724,1653434.fna.gz,background,positive_1,10000000
84030,0.0000183873684898749,84030.fna.gz,background,positive_1,10000000
853,0.0468842330559479,853.fna.gz,background,positive_1,10000000
2929491,0.00267570089833142,2929491.fna.gz,background,positive_1,10000000
2929495,0.00363005276707678,2929495.fna.gz,background,positive_1,10000000
2929493,0.00249814934147244,2929493.fna.gz,background,positive_1,10000000
2929494,0.00114772727006858,2929494.fna.gz,background,positive_1,10000000
2929488,0.00593735385146919,2929488.fna.gz,background,positive_1,10000000
2929492,0.000407536880089325,2929492.fna.gz,background,positive_1,10000000
2929489,0.0021133594195434,2929489.fna.gz,background,positive_1,10000000
2929490,0.0014397494236092,2929490.fna.gz,background,positive_1,10000000
411483,0.00350709584390301,411483.fna.gz,background,positive_1,10000000
2714355,0.000903494776879761,2714355.fna.gz,background,positive_1,10000000
2714353,0.000212344700842172,2714353.fna.gz,background,positive_1,10000000
1160721,0.00301167034484752,1160721.fna.gz,background,positive_1,10000000
1550024,0.000973500154203347,1550024.fna.gz,background,positive_1,10000000
2108523,0.000592843284322563,2108523.fna.gz,background,positive_1,10000000
169435,0.000458318980258425,169435.fna.gz,background,positive_1,10000000
292800,0.00317084586634317,292800.fna.gz,background,positive_1,10000000
2714358,0.000346004542558207,2714358.fna.gz,background,positive_1,10000000
2093857,0.00149699992075592,2093857.fna.gz,background,positive_1,10000000
2109687,0.00157141635643492,2109687.fna.gz,background,positive_1,10000000
214851,0.00012978550396697,214851.fna.gz,background,positive_1,10000000
2780922,0.0000437551543651306,2780922.fna.gz,background,positive_1,10000000
2766537,0.0000584815239592011,2766537.fna.gz,background,positive_1,10000000
154046,0.00048010359871227,154046.fna.gz,background,positive_1,10000000
1042156,0.0000134730571911743,1042156.fna.gz,background,positive_1,10000000
1155388,0.000434954381604123,1155388.fna.gz,background,positive_1,10000000
1502,0.0000645334654489747,1502.fna.gz,background,positive_1,10000000
1529,0.0000404209525338085,1529.fna.gz,background,positive_1,10000000
1297617,0.000345069959167692,1297617.fna.gz,background,positive_1,10000000
2086584,0.000224498499871285,2086584.fna.gz,background,positive_1,10000000
2610895,0.000146685859150562,2610895.fna.gz,background,positive_1,10000000
39496,0.000965427043296824,39496.fna.gz,background,positive_1,10000000
53442,0.0000418803756799193,53442.fna.gz,background,positive_1,10000000
2841528,0.0000806286999141891,2841528.fna.gz,background,positive_1,10000000
3079303,0.0000519222018220262,3079303.fna.gz,background,positive_1,10000000
3079302,0.0000227035973060584,3079302.fna.gz,background,positive_1,10000000
2086585,0.0000288905338613646,2086585.fna.gz,background,positive_1,10000000
1496,0.000225741798276612,1496.fna.gz,background,positive_1,10000000
1776384,0.000114106806220645,1776384.fna.gz,background,positive_1,10000000
626937,0.0000339639475869124,626937.fna.gz,background,positive_1,10000000
1981510,0.000243264197501255,1981510.fna.gz,background,positive_1,10000000
33025,0.00492386248567451,33025.fna.gz,background,positive_1,10000000
29466,0.000514322019637942,29466.fna.gz,background,positive_1,10000000
423477,0.000165454091441368,423477.fna.gz,background,positive_1,10000000
39777,0.0000858192698562801,39777.fna.gz,background,positive_1,10000000
1522,0.000321440061495972,1522.fna.gz,background,positive_1,10000000
1547,0.0000989375466666106,1547.fna.gz,background,positive_1,10000000
29348,0.00010732163859359,29348.fna.gz,background,positive_1,10000000
1982626,0.000164609780170383,1982626.fna.gz,background,positive_1,10000000
100886,0.0000178396621863658,100886.fna.gz,background,positive_1,10000000
2478954,0.000256123450132195,2478954.fna.gz,background,positive_1,10000000
2735723,0.0000701880146712008,2735723.fna.gz,background,positive_1,10000000
1712675,0.0000419432618176054,1712675.fna.gz,background,positive_1,10000000
1796635,0.000554159106135274,1796635.fna.gz,background,positive_1,10000000
2583452,0.0000124768576418089,2583452.fna.gz,background,positive_1,10000000
1304,0.000114947263032016,1304.fna.gz,background,positive_1,10000000
1307,0.0000280864064780043,1307.fna.gz,background,positive_1,10000000
1338,0.0000107557592995171,1338.fna.gz,background,positive_1,10000000
1308,0.00011335405802548,1308.fna.gz,background,positive_1,10000000
197614,0.0000510929746857738,197614.fna.gz,background,positive_1,10000000
1302,0.0000103472686944013,1302.fna.gz,background,positive_1,10000000
113107,0.0000127856924052399,113107.fna.gz,background,positive_1,10000000
1156431,0.000023195500076725,1156431.fna.gz,background,positive_1,10000000
1318,0.0000552190003977132,1318.fna.gz,background,positive_1,10000000
1359,0.0000154249261272144,1359.fna.gz,background,positive_1,10000000
1358,0.0000135022957546722,1358.fna.gz,background,positive_1,10000000
1352,0.000178643234567495,1352.fna.gz,background,positive_1,10000000
216816,0.00116328635849819,216816.fna.gz,background,positive_1,10000000
28026,0.000141215539770858,28026.fna.gz,background,positive_1,10000000
1680,0.000947158399235479,1680.fna.gz,background,positive_1,10000000
1685,0.0000867181209984882,1685.fna.gz,background,positive_1,10000000
1686,0.000027102618251109,1686.fna.gz,background,positive_1,10000000
1747,0.0000509126258675286,1747.fna.gz,background,positive_1,10000000
43675,0.0000120889731847828,43675.fna.gz,background,positive_1,10000000
446660,0.0000418110395352633,446660.fna.gz,background,positive_1,10000000
2707299,0.000057448091597792,2707299.fna.gz,background,positive_1,10000000
1335613,0.0000118399644388976,1335613.fna.gz,background,positive_1,10000000
84112,0.0000421886438436524,84112.fna.gz,background,positive_1,10000000
147206,0.0000322168122796429,147206.fna.gz,background,positive_1,10000000
74426,0.000515549494621839,74426.fna.gz,background,positive_1,10000000
239935,0.00923442224765764,239935.fna.gz,background,positive_1,10000000
2927224,0.00537198833729033,2927224.fna.gz,background,positive_1,10000000
40545,0.00380766247321407,40545.fna.gz,background,positive_1,10000000
729,0.00108867476474955,729.fna.gz,background,positive_1,10000000
1198456,0.0000221955782907648,1198456.fna.gz,background,positive_1,10000000
197,0.0000809247266003172,197.fna.gz,background,positive_1,10000000
901,0.00101241315299373,901.fna.gz,background,positive_1,10000000
1197717,0.0000194316081807056,1197717.fna.gz,background,positive_1,10000000
9606,0.000171063355691169,9606.fna.gz,background,positive_1,10000000
477666,0.0000525191507133703,477666.fna.gz,background,positive_1,10000000
28133,0.0000508369378434948,28133.fna.gz,background,positive_1,10000000
28129,0.0000193358383696659,28129.fna.gz,background,positive_1,10000000
28132,0.0000322066432042609,28132.fna.gz,background,positive_1,10000000
77095,0.00121214379368423,77095.fna.gz,background,positive_1,10000000
2606626,0.0000162740271889826,2606626.fna.gz,background,positive_1,10000000
1303,0.0000143531360484085,1303.fna.gz,background,positive_1,10000000
2682456,0.000810228652988788,2682456.fna.gz,background,positive_1,10000000
2682455,0.000539178747280802,2682455.fna.gz,background,positive_1,10000000
1979527,0.0000117320809547648,1979527.fna.gz,background,positive_1,10000000
38284,0.0000107952541317063,38284.fna.gz,background,positive_1,10000000
1270,0.0000106636046910757,1270.fna.gz,background,positive_1,10000000
562,0.00466836222296587,562.fna.gz,background,positive_1,10000000
582,0.0000648900092868051,582.fna.gz,background,positive_1,10000000
876,0.0012020839262117,876.fna.gz,background,positive_1,10000000
195,0.0000155815516142058,195.fna.gz,background,positive_1,10000000
199,0.0000260233072369732,199.fna.gz,background,positive_1,10000000
1217282,0.0000465500042191084,1217282.fna.gz,background,positive_1,10000000
589436,0.0000238256868097706,589436.fna.gz,background,positive_1,10000000
3073964,0.000263265968900971,3073964.fna.gz,background,positive_1,10000000
2487118,0.0000294236499809311,2487118.fna.gz,background,positive_1,10000000
1314,0.0000135022957546722,1314.fna.gz,background,positive_1,10000000
487173,0.0000202828748771493,487173.fna.gz,background,positive_1,10000000
437897,0.00210997243454302,437897.fna.gz,background,positive_1,10000000
1681,0.000369798042673957,1681.fna.gz,background,positive_1,10000000
78448,0.000228484656862949,78448.fna.gz,background,positive_1,10000000
2494234,0.0000150345266681088,2494234.fna.gz,background,positive_1,10000000
76517,0.000022883114666378,76517.fna.gz,background,positive_1,10000000
1177574,0.0000352608757034353,1177574.fna.gz,background,positive_1,10000000
28125,0.0000573143434945198,28125.fna.gz,background,positive_1,10000000
