5627	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Grifolaceae;g__Grifola;s__Grifola frondosa	2759;5204;155619;5303;2028216;5626;5627
234819	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lyophyllaceae;g__Hypsizygus;s__Hypsizygus tessulatus	2759;5204;155619;5338;930979;39965;234819
1973307	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Cyclocybe;s__Cyclocybe aegerita	2759;5204;155619;5338;5398;1593263;1973307
4498	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Avena;s__Avena sativa	2759;35493;3398;38820;4479;4496;4498
4072	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Capsicum;s__Capsicum annuum	2759;35493;3398;4069;4070;4071;4072
4113	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Solanum;s__Solanum tuberosum	2759;35493;3398;4069;4070;4107;4113
4182	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Lamiales;f__Pedaliaceae;g__Sesamum;s__Sesamum indicum	2759;35493;3398;4143;4180;4181;4182
4006	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Malpighiales;f__Linaceae;g__Linum;s__Linum usitatissimum	2759;35493;3398;3646;4004;4005;4006
139271	k__Eukaryota;p__Streptophyta;c__Pinopsida;o__Pinales;f__Pinaceae;g__Pinus;s__	2759;35493;58019;1446380;3318;3337;
16718	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fagales;f__Juglandaceae;g__Juglans;s__	2759;35493;3398;3502;16714;16718;
32201	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fagales;f__Juglandaceae;g__Carya;s__Carya illinoinensis	2759;35493;3398;3502;16714;13402;32201
4615	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Bromeliaceae;g__Ananas;s__Ananas comosus	2759;35493;3398;38820;4613;4614;4615
42229	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Prunus;s__Prunus avium	2759;35493;3398;3744;3745;3754;42229
4120	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Convolvulaceae;g__Ipomoea;s__Ipomoea batatas	2759;35493;3398;4069;4118;4119;4120
4045	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Apiales;f__Apiaceae;g__Apium;s__Apium graveolens	2759;35493;3398;4036;4037;4044;4045
418795	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Brassicales;f__Brassicaceae;g__Brassica x Raphanus;s__Brassica oleracea var. capitata x Raphanus sativus	2759;35493;3398;3699;3700;418794;418795
32247	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Rubus;s__Rubus idaeus	2759;35493;3398;3744;3745;23216;32247
3564	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Caryophyllales;f__Amaranthaceae;g__Amaranthus;s__	2759;35493;3398;3524;3563;3564;
63459	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Caryophyllales;f__Chenopodiaceae;g__Chenopodium;s__Chenopodium quinoa	2759;35493;3398;3524;1804623;3558;63459
4557	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Sorghum;s__	2759;35493;3398;38820;4479;4557;
3617	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Caryophyllales;f__Polygonaceae;g__Fagopyrum;s__Fagopyrum esculentum	2759;35493;3398;3524;3615;3616;3617
4550	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Secale;s__Secale cereale	2759;35493;3398;38820;4479;4549;4550
4513	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Hordeum;s__Hordeum vulgare	2759;35493;3398;38820;4479;4512;4513
3983	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Malpighiales;f__Euphorbiaceae;g__Manihot;s__Manihot esculenta	2759;35493;3398;3646;3977;3982;3983
4479	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__;s__	2759;35493;3398;38820;4479;;
3645	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Ericales;f__Lecythidaceae;g__Bertholletia;s__Bertholletia excelsa	2759;35493;3398;41945;3642;3644;3645
