food_id,wikipedia_id,food_group,food_subgroup,ncbi_taxonomy_id,db,rank,matched_taxid,kingdom,phylum,class,order,family,genus,species
63,Saffron,Herbs and Spices,Spices,82528,genbank,species,82528,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Iridaceae,Crocus,Crocus sativus
64,Muskmelon,Gourds,Gourds,3656,genbank,species,3656,Eukaryota,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,Cucumis melo
65,Cucumber,Gourds,Gourds,3659,genbank,species,3659,Eukaryota,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,Cucumis sativus
68,Turmeric,Herbs and Spices,Spices,136217,genbank,species,136217,Eukaryota,Streptophyta,Magnoliopsida,Zingiberales,Zingiberaceae,Curcuma,Curcuma longa
69,Quince,Fruits,Pomes,36610,genbank,species,36610,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Cydonia,Cydonia oblonga
70,Cymbopogon citratus,Herbs and Spices,Herbs,66014,genbank,species,66014,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon citratus
71,Artichoke,Vegetables,Shoot vegetables,59895,genbank,species,4265,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cynara,Cynara cardunculus
72,Daucus carota,Vegetables,Root vegetables,4039,genbank,species,4039,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota
73,Japanese_persimmon,Fruits,Tropical fruits,35925,genbank,species,35925,Eukaryota,Streptophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros kaki
77,Rocket_(salad),Vegetables,Leaf vegetables,29727,genbank,species,180536,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Eruca,Eruca vesicaria
79,Buckwheat,Cereals and cereal products,Cereals,3617,genbank,species,3617,Eukaryota,Streptophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Fagopyrum,Fagopyrum esculentum
80,Fagopyrum tataricum,Cereals and cereal products,Cereals,62330,genbank,species,62330,Eukaryota,Streptophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Fagopyrum,Fagopyrum tataricum
81,Ficus_carica,Fruits,Other fruits,3494,genbank,species,3494,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Ficus carica
82,Fennel,Herbs and Spices,Herbs,48038,genbank,species,2849586,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Anethum,Anethum foeniculum
83,Strawberry,Fruits,Berries,3747,genbank,species,3747,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria,Fragaria x ananassa
85,Soybean,Soy,Soy,3847,genbank,species,3847,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Glycine,Glycine max
86,Sunflower,Herbs and Spices,Oilseed crops,4232,genbank,species,4232,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus annuus
87,Hippophae rhamnoides,Fruits,Berries,193516,genbank,species,193516,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Elaeagnaceae,Hippophae,Hippophae rhamnoides
88,Barley,Cereals and cereal products,Cereals,4513,genbank,species,4513,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Hordeum,Hordeum vulgare
92,Sweet Potato Pie (album),Vegetables,Tubers,4120,genbank,species,4120,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea batatas
93,Black_walnut,Nuts,Nuts,16719,genbank,species,16719,Eukaryota,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,Juglans nigra
94,Juglans regia,Nuts,Nuts,51240,genbank,species,51240,Eukaryota,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,Juglans regia
95,Lettuce,Vegetables,Leaf vegetables,4236,genbank,species,4236,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca sativa
96,Lathyrus sativus,Pulses,Peas,3860,genbank,species,3860,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus,Lathyrus sativus
99,Garden cress,Vegetables,Leaf vegetables,33125,genbank,species,33125,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,Lepidium sativum
101,Flax,Herbs and Spices,Oilseed crops,4006,genbank,species,4006,Eukaryota,Streptophyta,Magnoliopsida,Malpighiales,Linaceae,Linum,Linum usitatissimum
103,Lichee,Fruits,Tropical fruits,151069,genbank,species,151069,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Litchi,Litchi chinensis
106,Mango,Fruits,Tropical fruits,29780,genbank,species,29780,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Anacardiaceae,Mangifera,Mangifera indica
115,Bitter melon,Gourds,Gourds,3673,genbank,species,3673,Eukaryota,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Momordica,Momordica charantia
120,Evening_primrose,Herbs and Spices,Oilseed crops,3942,genbank,species,3942,Eukaryota,Streptophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera biennis
121,Olive,Vegetables,Fruit vegetables,4146,genbank,species,4146,Eukaryota,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Olea,Olea europaea
